Date ,State ,Total_Count,Male_Count,Female_Count,,,,
2020-06-22,Utah,17462,9002,8441,,,,
2020-06-22,Vermont,1159,548,606,,,,
2020-06-22,Virginia,57994,28577,28914,,,,
2020-06-22,Washington,28680,13414,14710,,,,
2020-06-22,West Virginia,2543,1228,1303,,,,
2020-06-22,Wisconsin,24819,12109,12642,,,,
2020-06-22,Wyoming,947,451,493,,,,
2020-06-29,Alabama,34964,14961,19737,,,,
2020-06-29,Alaska,883,454,429,,,,
2020-06-29,Arizona,73908,35355,38374,,,,
2020-06-29,Arkansas,19818,10728,8706,,,,
2020-06-29,California,211243,106044,103509,,,,
2020-06-29,Colorado,32307,15417,16121,,,,
2020-06-29,Connecticut,46303,20872,25228,,,,
2020-06-29,Delaware,11226,5001,6207,,,,
2020-06-29,District of Columbia,10248,5092,5137,,,,
2020-06-29,Florida,141075,68550,69746,,,,
2020-06-29,Georgia,77210,35131,40149,,,,
2020-06-29,Hawaii,899,0,0,,,,
2020-06-29,Idaho,5319,2448,2854,,,,
2020-06-29,Illinois,141273,66934,72159,,,,
2020-06-29,Indiana,44930,20713,23319,,,,
2020-06-29,Iowa,28593,14582,13725,,,,
2020-06-29,Kansas,13538,7203,6148,,,,
2020-06-29,Kentucky,15232,7144,7916,,,,
2020-06-29,Louisiana,56236,23619,31492,,,,
2020-06-29,Maine,3191,1544,1647,,,,
2020-06-29,Maryland,66777,32128,34649,,,,
2020-06-29,Massachusetts,108667,47976,59219,,,,
2020-06-29,Michigan,63261,30107,32978,,,,
2020-06-29,Minnesota,35549,17091,17829,,,,
