Date,Sex,Age Group,Total Deaths,COVID-19 Deaths
2022-05-28,All Sex,<1 Years,371,3
2022-05-28,All Sex,1-4 Years,82,1
2022-05-28,All Sex,5-14 Years,132,3
2022-05-28,All Sex,15-24 Years,652,8
2022-05-28,All Sex,25-34 Years,"1,405",20
2022-05-28,All Sex,35-44 Years,"2,067",37
2022-05-28,All Sex,45-54 Years,"3,245",68
2022-05-28,All Sex,55-64 Years,"7,297",196
2022-05-28,All Sex,65-74 Years,"11,537",341
2022-05-28,All Sex,75-84 Years,"14,156",515
2022-05-28,All Sex,85+ Years,"16,123",740
2022-05-28,Male,All Ages,"30,014","1,006"
2022-05-28,Male,<1 Years,188,2
2022-05-28,Male,1-4 Years,47,0
2022-05-28,Male,5-14 Years,64,0
2022-05-28,Male,15-24 Years,475,5
2022-05-28,Male,25-34 Years,"1,006",8
2022-05-28,Male,35-44 Years,"1,420",20
2022-05-28,Male,45-54 Years,"2,076",45
2022-05-28,Male,55-64 Years,"4,462",110
2022-05-28,Male,65-74 Years,"6,568",200
2022-05-28,Male,75-84 Years,"7,335",263
2022-05-28,Male,85+ Years,"6,373",353
2022-05-28,Female,All Ages,"27,053",926
2022-05-28,Female,<1 Years,183,1
2022-05-28,Female,1-4 Years,35,1
2022-05-28,Female,5-14 Years,68,3
2022-05-28,Female,15-24 Years,177,3
