Date,State,tot_deaths,new_deaths
2022-01-06,VA,"15,619",91
2022-01-13,VA,"15,731",112
2022-01-20,VA,"15,826",95
2022-01-27,VA,"16,040",214
2022-02-03,VA,"16,404",364
2022-02-10,VA,"17,297",893
2022-02-17,VA,"17,866",569
2022-02-24,VA,"18,320",454
2022-03-03,VA,"18,840",520
2022-03-10,VA,"19,115",275
2022-03-17,VA,"19,361",246
2022-03-24,VA,"19,516",155
2022-03-31,VA,"19,632",116
2022-04-07,VA,"19,750",118
2022-04-14,VA,"19,911",161
2022-04-21,VA,"20,053",142
2022-04-28,VA,"20,162",109
2022-05-05,VA,"20,216",54
2022-05-12,VA,"20,259",43
2022-05-19,VA,"20,288",29
2022-05-26,VA,"20,320",32
2022-06-02,VA,"20,358",38
2022-06-09,VA,"20,398",40
2022-06-16,VA,"20,412",14
2022-06-23,VA,"20,443",31
2022-06-30,VA,"20,547",104
2022-07-07,VA,"20,663",116
2022-07-14,VA,"20,742",79
2022-07-21,VA,"20,808",66
2022-07-28,VA,"20,860",52
2022-08-04,VA,"20,966",106
2022-08-11,VA,"21,072",106
2022-08-18,VA,"21,176",104
2022-08-25,VA,"21,297",121
2022-09-01,VA,"21,396",99
2022-09-08,VA,"21,510",114
2022-09-15,VA,"21,621",111
2022-09-22,VA,"21,702",81
2022-09-29,VA,"21,798",96
2022-10-06,VA,"21,879",81
2022-10-13,VA,"21,972",93
2022-10-20,VA,"22,053",81
2022-10-27,VA,"22,132",79
2022-11-03,VA,"22,189",57
2022-11-10,VA,"22,221",32
2022-11-17,VA,"22,254",33
2020-01-23,VI,0,0
2020-01-30,VI,0,0
2020-02-06,VI,0,0
2020-02-13,VI,0,0
2020-02-20,VI,0,0
2020-02-27,VI,0,0
2020-03-05,VI,0,0
2020-03-12,VI,0,0
2020-03-19,VI,0,0
2020-03-26,VI,0,0
2020-04-02,VI,0,0
2020-04-09,VI,1,1
2020-04-16,VI,1,0
2020-04-23,VI,3,2
2020-04-30,VI,4,1
2020-05-07,VI,4,0
2020-05-14,VI,6,2
2020-05-21,VI,6,0
2020-05-28,VI,6,0
2020-06-04,VI,6,0
2020-06-11,VI,6,0
2020-06-18,VI,6,0
2020-06-25,VI,6,0
2020-07-02,VI,6,0
2020-07-09,VI,6,0
2020-07-16,VI,6,0
2020-07-23,VI,7,1
2020-07-30,VI,8,1
2020-08-06,VI,8,0
2020-08-13,VI,9,1
2020-08-20,VI,9,0
2020-08-27,VI,14,5
2020-09-03,VI,15,1
2020-09-10,VI,18,3
2020-09-17,VI,19,1
2020-09-24,VI,19,0
2020-10-01,VI,20,1
2020-10-08,VI,20,0
2020-10-15,VI,20,0
2020-10-22,VI,21,1
2020-10-29,VI,21,0
2020-11-05,VI,23,2
2020-11-12,VI,23,0
2020-11-19,VI,23,0
2020-11-26,VI,23,0
2020-12-03,VI,23,0
2020-12-10,VI,23,0
2020-12-17,VI,23,0
2020-12-24,VI,23,0
2020-12-31,VI,23,0
2021-01-07,VI,24,1
2021-01-14,VI,24,0
2021-01-21,VI,24,0
2021-01-28,VI,24,0
2021-02-04,VI,24,0
2021-02-11,VI,25,1
2021-02-18,VI,25,0
2021-02-25,VI,25,0
2021-03-04,VI,25,0
2021-03-11,VI,25,0
2021-03-18,VI,25,0
2021-03-25,VI,25,0
2021-04-01,VI,26,1
2021-04-08,VI,26,0
2021-04-15,VI,26,0
2021-04-22,VI,27,1
2021-04-29,VI,27,0
2021-05-06,VI,27,0
2021-05-13,VI,27,0
2021-05-20,VI,27,0
2021-05-27,VI,27,0
2021-06-03,VI,28,1
2021-06-10,VI,28,0
2021-06-17,VI,30,2
2021-06-24,VI,30,0
2021-07-01,VI,30,0
2021-07-08,VI,32,2
2021-07-15,VI,32,0
2021-07-22,VI,33,1
2021-07-29,VI,36,3
2021-08-05,VI,39,3
2021-08-12,VI,41,2
2021-08-19,VI,41,0
2021-08-26,VI,51,10
2021-09-02,VI,56,5
2021-09-09,VI,63,7
2021-09-16,VI,67,4
2021-09-23,VI,69,2
2021-09-30,VI,71,2
2021-10-07,VI,72,1
2021-10-14,VI,75,3
2021-10-21,VI,78,3
